uid,conjunto
1.3.6.1.4.1.14519.5.2.1.6279.6001.564534197011295112247542153557,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.952265563663939823135367733681,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.188209889686363159853715266493,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.161002239822118346732951898613,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.111017101339429664883879536171,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.179162671133894061547290922949,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.975254950136384517744116790879,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.323859712968543712594665815359,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.404364125369979066736354549484,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.309672797925724868457151381131,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.134370886216012873213579659366,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.534006575256943390479252771547,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.286647622786041008124419915089,val
1.3.6.1.4.1.14519.5.2.1.6279.6001.231002159523969307155990628066,val
1.3.6.1.4.1.14519.5.2.1.6279.6001.210837812047373739447725050963,val
1.3.6.1.4.1.14519.5.2.1.6279.6001.326057189095429101398977448288,val
1.3.6.1.4.1.14519.5.2.1.6279.6001.479402560265137632920333093071,val
1.3.6.1.4.1.14519.5.2.1.6279.6001.121824995088859376862458155637,val
1.3.6.1.4.1.14519.5.2.1.6279.6001.690929968028676628605553365896,val
1.3.6.1.4.1.14519.5.2.1.6279.6001.566816709786169715745131047975,val
1.3.6.1.4.1.14519.5.2.1.6279.6001.130438550890816550994739120843,val
1.3.6.1.4.1.14519.5.2.1.6279.6001.206539885154775002929031534291,val
1.3.6.1.4.1.14519.5.2.1.6279.6001.219087313261026510628926082729,val
1.3.6.1.4.1.14519.5.2.1.6279.6001.395623571499047043765181005112,val
1.3.6.1.4.1.14519.5.2.1.6279.6001.114218724025049818743426522343,val
1.3.6.1.4.1.14519.5.2.1.6279.6001.313605260055394498989743099991,val
1.3.6.1.4.1.14519.5.2.1.6279.6001.173106154739244262091404659845,val
1.3.6.1.4.1.14519.5.2.1.6279.6001.108197895896446896160048741492,val
1.3.6.1.4.1.14519.5.2.1.6279.6001.280972147860943609388015648430,val
1.3.6.1.4.1.14519.5.2.1.6279.6001.186021279664749879526003668137,val
1.3.6.1.4.1.14519.5.2.1.6279.6001.144438612068946916340281098509,val
1.3.6.1.4.1.14519.5.2.1.6279.6001.272042302501586336192628818865,val
1.3.6.1.4.1.14519.5.2.1.6279.6001.655242448149322898770987310561,val
1.3.6.1.4.1.14519.5.2.1.6279.6001.311981398931043315779172047718,val
1.3.6.1.4.1.14519.5.2.1.6279.6001.640729228179368154416184318668,val
1.3.6.1.4.1.14519.5.2.1.6279.6001.910607280658963002048724648683,val
1.3.6.1.4.1.14519.5.2.1.6279.6001.277445975068759205899107114231,val
1.3.6.1.4.1.14519.5.2.1.6279.6001.511347030803753100045216493273,val
1.3.6.1.4.1.14519.5.2.1.6279.6001.314789075871001236641548593165,val
1.3.6.1.4.1.14519.5.2.1.6279.6001.222087811960706096424718056430,val
1.3.6.1.4.1.14519.5.2.1.6279.6001.970264865033574190975654369557,val
1.3.6.1.4.1.14519.5.2.1.6279.6001.152684536713461901635595118048,val
1.3.6.1.4.1.14519.5.2.1.6279.6001.616033753016904899083676284739,val
1.3.6.1.4.1.14519.5.2.1.6279.6001.134996872583497382954024478441,val
1.3.6.1.4.1.14519.5.2.1.6279.6001.281489753704424911132261151767,val
1.3.6.1.4.1.14519.5.2.1.6279.6001.331211682377519763144559212009,val
1.3.6.1.4.1.14519.5.2.1.6279.6001.333145094436144085379032922488,val
1.3.6.1.4.1.14519.5.2.1.6279.6001.317087518531899043292346860596,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.287966244644280690737019247886,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.194440094986948071643661798326,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.315214756157389122376518747372,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.139713436241461669335487719526,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.332453873575389860371315979768,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.162718361851587451505896742103,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.259543921154154401875872845498,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.227962600322799211676960828223,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.141069661700670042960678408762,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.293757615532132808762625441831,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.674809958213117379592437424616,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.241570579760883349458693655367,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.219909753224298157409438012179,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.323302986710576400812869264321,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.249530219848512542668813996730,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.657775098760536289051744981056,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.303421828981831854739626597495,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.126121460017257137098781143514,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.144943344795414353192059796098,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.272961322147784625028175033640,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.768276876111112560631432843476,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.278660284797073139172446973682,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.162901839201654862079549658100,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.188376349804761988217597754952,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.154677396354641150280013275227,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.663019255629770796363333877035,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.397062004302272014259317520874,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.295420274214095686326263147663,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.168605638657404145360275453085,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.275766318636944297772360944907,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.139258777898746693365877042411,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.282512043257574309474415322775,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.250438451287314206124484591986,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.128059192202504367870633619224,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.259018373683540453277752706262,test
