uid,n_slices,rows,cols,spacing_x,spacing_y,spacing_z,has_mask
1.3.6.1.4.1.14519.5.2.1.6279.6001.194440094986948071643661798326,195,512,512,0.7421875,0.7421875,1.7999999523162842,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.194465340552956447447896167830,129,512,512,0.6972659826278687,0.6972659826278687,2.5,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.202811684116768680758082619196,133,512,512,0.9765620231628418,0.9765620231628418,2.5,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.210837812047373739447725050963,194,512,512,0.68359375,0.68359375,1.7999999523162842,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.213140617640021803112060161074,276,512,512,0.6171875,0.6171875,1.0,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.216882370221919561230873289517,250,512,512,0.6542969942092896,0.6542969942092896,1.25,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.219087313261026510628926082729,280,512,512,0.61328125,0.61328125,1.0,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.219909753224298157409438012179,141,512,512,0.625,0.625,2.5,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.227962600322799211676960828223,209,512,512,0.6933590173721313,0.6933590173721313,1.25,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.231645134739451754302647733304,255,512,512,0.6542969942092896,0.6542969942092896,1.25,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.238522526736091851696274044574,183,512,512,0.6640625,0.6640625,1.7999999523162842,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.241570579760883349458693655367,325,512,512,0.611328125,0.611328125,1.0,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.249530219848512542668813996730,481,512,512,0.6054689884185791,0.6054689884185791,0.625,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.250438451287314206124484591986,221,512,512,0.6210939884185791,0.6210939884185791,1.25,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,297,512,512,0.9492189884185791,0.9492189884185791,1.25,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.269689294231892620436462818860,123,512,512,0.6171879768371582,0.6171879768371582,2.5,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.272042302501586336192628818865,280,512,512,0.7109375,0.7109375,1.0,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.277445975068759205899107114231,177,512,512,0.7421875,0.7421875,1.7999999523162842,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.278660284797073139172446973682,117,512,512,0.6640620231628418,0.6640620231628418,2.5,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.280972147860943609388015648430,139,512,512,0.78125,0.78125,2.5,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.281489753704424911132261151767,471,512,512,0.5859379768371582,0.5859379768371582,0.625,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.293757615532132808762625441831,477,512,512,0.78125,0.78125,0.625,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.294188507421106424248264912111,250,512,512,0.5859379768371582,0.5859379768371582,1.25,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.295298571102631191572192562523,232,512,512,0.703125,0.703125,1.25,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.295420274214095686326263147663,244,512,512,0.5253909826278687,0.5253909826278687,1.2499998807907104,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.302134342469412607966016057827,369,512,512,0.703125,0.703125,0.625,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.303421828981831854739626597495,300,512,512,0.744140625,0.744140625,1.0,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.305858704835252413616501469037,290,512,512,0.681640625,0.681640625,1.0,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.310548927038333190233889983845,127,512,512,0.703125,0.703125,2.5,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.310626494937915759224334597176,127,512,512,0.5859379768371582,0.5859379768371582,2.5,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.311981398931043315779172047718,151,512,512,0.859375,0.859375,2.5,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.313334055029671473836954456733,123,512,512,0.703125,0.703125,2.5,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.313605260055394498989743099991,129,512,512,0.78125,0.78125,2.5,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.313835996725364342034830119490,465,512,512,0.703125,0.703125,0.625,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.317087518531899043292346860596,474,512,512,0.625,0.625,0.625,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.323302986710576400812869264321,157,512,512,0.703125,0.703125,2.0,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.323859712968543712594665815359,267,512,512,0.5957030057907104,0.5957030057907104,1.25,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.332453873575389860371315979768,204,512,512,0.64453125,0.64453125,1.7999999523162842,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.333145094436144085379032922488,139,512,512,0.78125,0.78125,2.5,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.334517907433161353885866806005,280,512,512,0.67578125,0.67578125,1.0000001192092896,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.395623571499047043765181005112,109,512,512,0.78125,0.78125,2.5,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.397062004302272014259317520874,325,512,512,0.78125,0.78125,1.0,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.404364125369979066736354549484,176,512,512,0.5859375,0.5859375,1.7999999523162842,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.417815314896088956784723476543,280,512,512,0.578125,0.578125,1.0,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.430109407146633213496148200410,733,512,512,0.63671875,0.63671875,0.5,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.450501966058662668272378865145,129,512,512,0.6445310115814209,0.6445310115814209,2.5,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.511347030803753100045216493273,147,512,512,0.703125,0.703125,2.5,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.525937963993475482158828421281,516,512,512,0.8203120231628418,0.8203120231628418,0.625,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.534006575256943390479252771547,545,512,512,0.7226560115814209,0.7226560115814209,0.625,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.534083630500464995109143618896,229,512,512,0.6542969942092896,0.6542969942092896,1.25,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.564534197011295112247542153557,265,512,512,0.9433590173721313,0.9433590173721313,1.25,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.566816709786169715745131047975,133,512,512,0.7421879768371582,0.7421879768371582,2.5,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.621916089407825046337959219998,133,512,512,0.859375,0.859375,2.5,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.640729228179368154416184318668,483,512,512,0.65234375,0.65234375,0.699999988079071,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.657775098760536289051744981056,120,512,512,0.6445310115814209,0.6445310115814209,2.5,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.716498695101447665580610403574,429,512,512,0.537109375,0.537109375,0.699999988079071,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.724251104254976962355686318345,392,512,512,0.638671875,0.638671875,0.75,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.752756872840730509471096155114,127,512,512,0.703125,0.703125,2.5,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.805925269324902055566754756843,141,512,512,0.8203120231628418,0.8203120231628418,2.5,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.826812708000318290301835871780,404,512,512,0.703125,0.703125,0.625,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.832260670372728970918746541371,133,512,512,0.8203120231628418,0.8203120231628418,2.5,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.868211851413924881662621747734,246,512,512,0.859375,0.859375,1.25,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.898642529028521482602829374444,200,512,512,0.5234375,0.5234375,1.0,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.905371958588660410240398317235,152,512,512,0.78125,0.78125,2.5,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.975254950136384517744116790879,124,512,512,0.5996090173721313,0.5996090173721313,2.5,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.979083010707182900091062408058,140,512,512,0.6640620231628418,0.6640620231628418,2.0,True
